date,demand
2022-12-08,107
2022-12-09,105
2022-12-10,139
2022-12-11,153
2022-12-12,79
2022-12-13,97
2022-12-14,111
2022-12-15,85
2022-12-16,122
2022-12-17,138
2022-12-18,144
2022-12-19,97
2022-12-20,114
2022-12-21,117
2022-12-22,107
2022-12-23,107
2022-12-24,138
2022-12-25,124
2022-12-26,103
2022-12-27,103
2022-12-28,110
2022-12-29,117
2022-12-30,93
2022-12-31,134
2023-01-01,153
2023-01-02,97
2023-01-03,96
2023-01-04,108
2023-01-05,116
2023-01-06,106
2023-01-07,152
2023-01-08,147
2023-01-09,117
2023-01-10,114
2023-01-11,135
2023-01-12,105
2023-01-13,84
2023-01-14,157
2023-01-15,133
2023-01-16,110
2023-01-17,124
2023-01-18,89
2023-01-19,94
2023-01-20,90
2023-01-21,130
2023-01-22,145
2023-01-23,116
2023-01-24,113
2023-01-25,93
2023-01-26,83
2023-01-27,112
2023-01-28,136
2023-01-29,147
2023-01-30,120
2023-01-31,114
2023-02-01,122
2023-02-02,116
2023-02-03,119
2023-02-04,135
2023-02-05,142
2023-02-06,116
2023-02-07,124
2023-02-08,110
2023-02-09,121
2023-02-10,112
2023-02-11,144
2023-02-12,156
2023-02-13,92
2023-02-14,101
2023-02-15,99
2023-02-16,89
2023-02-17,110
2023-02-18,157
2023-02-19,145
2023-02-20,121
2023-02-21,132
2023-02-22,136
2023-02-23,119
2023-02-24,137
2023-02-25,152
2023-02-26,141
2023-02-27,114
2023-02-28,104
2023-03-01,112
2023-03-02,118
2023-03-03,133
2023-03-04,174
2023-03-05,137
2023-03-06,129
2023-03-07,112
2023-03-08,131
2023-03-09,124
2023-03-10,104
2023-03-11,167
2023-03-12,149
2023-03-13,121
2023-03-14,115
2023-03-15,120
2023-03-16,134
2023-03-17,127
2023-03-18,163
2023-03-19,164
2023-03-20,146
2023-03-21,126
2023-03-22,113
2023-03-23,144
2023-03-24,128
2023-03-25,175
2023-03-26,167
2023-03-27,131
2023-03-28,138
2023-03-29,157
2023-03-30,159
2023-03-31,135
2023-04-01,167
2023-04-02,178
2023-04-03,126
2023-04-04,140
2023-04-05,136
2023-04-06,141
2023-04-07,127
2023-04-08,149
2023-04-09,143
2023-04-10,125
2023-04-11,133
2023-04-12,136
2023-04-13,163
2023-04-14,153
2023-04-15,159
2023-04-16,175
2023-04-17,136
2023-04-18,138
2023-04-19,144
2023-04-20,150
2023-04-21,139
2023-04-22,186
2023-04-23,160
2023-04-24,144
2023-04-25,175
2023-04-26,147
2023-04-27,162
2023-04-28,146
2023-04-29,183
2023-04-30,175
2023-05-01,144
2023-05-02,137
2023-05-03,152
2023-05-04,137
2023-05-05,156
2023-05-06,191
2023-05-07,183
2023-05-08,145
2023-05-09,154
2023-05-10,145
2023-05-11,161
2023-05-12,128
2023-05-13,176
2023-05-14,156
2023-05-15,133
2023-05-16,167
2023-05-17,162
2023-05-18,143
2023-05-19,133
2023-05-20,146
2023-05-21,175
2023-05-22,181
2023-05-23,158
2023-05-24,146
2023-05-25,158
2023-05-26,134
2023-05-27,180
2023-05-28,185
2023-05-29,153
2023-05-30,163
2023-05-31,158
2023-06-01,162
2023-06-02,146
2023-06-03,195
2023-06-04,204
2023-06-05,143
2023-06-06,144
2023-06-07,171
2023-06-08,153
2023-06-09,172
2023-06-10,180
2023-06-11,203
2023-06-12,158
2023-06-13,159
2023-06-14,175
2023-06-15,152
2023-06-16,145
2023-06-17,181
2023-06-18,192
2023-06-19,138
2023-06-20,164
2023-06-21,150
2023-06-22,171
2023-06-23,128
2023-06-24,177
2023-06-25,167
2023-06-26,147
2023-06-27,160
2023-06-28,155
2023-06-29,154
2023-06-30,155
2023-07-01,190
2023-07-02,175
2023-07-03,166
2023-07-04,165
2023-07-05,162
2023-07-06,164
2023-07-07,161
2023-07-08,211
2023-07-09,186
2023-07-10,153
2023-07-11,148
2023-07-12,144
2023-07-13,142
2023-07-14,146
2023-07-15,186
2023-07-16,191
2023-07-17,157
2023-07-18,147
2023-07-19,167
2023-07-20,165
2023-07-21,154
2023-07-22,178
2023-07-23,192
2023-07-24,158
2023-07-25,138
2023-07-26,155
2023-07-27,159
2023-07-28,144
2023-07-29,187
2023-07-30,167
2023-07-31,171
2023-08-01,170
2023-08-02,151
2023-08-03,159
2023-08-04,125
2023-08-05,170
2023-08-06,180
2023-08-07,141
2023-08-08,162
2023-08-09,177
2023-08-10,139
2023-08-11,143
2023-08-12,185
2023-08-13,202
2023-08-14,138
2023-08-15,155
2023-08-16,174
2023-08-17,132
2023-08-18,136
2023-08-19,176
2023-08-20,175
2023-08-21,160
2023-08-22,153
2023-08-23,129
2023-08-24,156
2023-08-25,143
2023-08-26,195
2023-08-27,172
2023-08-28,141
2023-08-29,155
2023-08-30,158
2023-08-31,154
2023-09-01,128
2023-09-02,184
2023-09-03,165
2023-09-04,150
2023-09-05,130
2023-09-06,152
2023-09-07,137
2023-09-08,131
2023-09-09,184
2023-09-10,178
2023-09-11,138
2023-09-12,162
2023-09-13,139
2023-09-14,145
2023-09-15,147
2023-09-16,166
2023-09-17,179
2023-09-18,137
2023-09-19,138
2023-09-20,159
2023-09-21,130
2023-09-22,113
2023-09-23,191
2023-09-24,202
2023-09-25,137
2023-09-26,118
2023-09-27,137
2023-09-28,137
2023-09-29,138
2023-09-30,157
2023-10-01,177
2023-10-02,146
2023-10-03,121
2023-10-04,147
2023-10-05,163
2023-10-06,141
2023-10-07,164
2023-10-08,166
2023-10-09,145
2023-10-10,117
2023-10-11,139
2023-10-12,132
2023-10-13,159
2023-10-14,164
2023-10-15,186
2023-10-16,123
2023-10-17,143
2023-10-18,139
2023-10-19,125
2023-10-20,137
2023-10-21,179
2023-10-22,161
2023-10-23,114
2023-10-24,134
2023-10-25,123
2023-10-26,130
2023-10-27,133
2023-10-28,143
2023-10-29,144
2023-10-30,139
2023-10-31,126
2023-11-01,102
2023-11-02,142
2023-11-03,135
2023-11-04,153
2023-11-05,146
2023-11-06,142
2023-11-07,136
2023-11-08,160
2023-11-09,136
2023-11-10,136
2023-11-11,159
2023-11-12,171
2023-11-13,138
2023-11-14,145
2023-11-15,124
2023-11-16,125
2023-11-17,124
2023-11-18,169
2023-11-19,178
2023-11-20,124
2023-11-21,125
2023-11-22,133
2023-11-23,127
2023-11-24,141
2023-11-25,132
2023-11-26,149
2023-11-27,120
2023-11-28,101
2023-11-29,118
2023-11-30,118
2023-12-01,127
2023-12-02,172
2023-12-03,156
2023-12-04,117
2023-12-05,128
2023-12-06,141
2023-12-07,117
2023-12-08,118
2023-12-09,166
2023-12-10,156
2023-12-11,137
2023-12-12,129
2023-12-13,137
2023-12-14,117
2023-12-15,129
2023-12-16,156
2023-12-17,144
2023-12-18,110
2023-12-19,137
2023-12-20,125
2023-12-21,117
2023-12-22,128
2023-12-23,173
2023-12-24,132
2023-12-25,112
2023-12-26,119
2023-12-27,147
2023-12-28,133
2023-12-29,139
2023-12-30,147
2023-12-31,147
